DP_NODE_ID,ORIGINATING_LINK_ID,DEST_LINK_ID,RAMP,BIF,CA,FILENAME,SIDE,SIGN_DEST,JV_ORIGIN,ISO_COUNTRY_CODE,GMS_SVG,GMS_TEMPLATE,LATITUDE,LONGITUDE,MDPS,MDPS_APPROX,TUNNEL_ORIGIN_LINK,TUNNEL_DEST_LINK,ORIGIN_BEARING,DEST_BEARING,DP2_NODE_ID
812730758,809098968,851228929,Y,N,N,L22.SVG,L,-1,809098968,THA,GMS_TH.SVG,,13.93436,100.55796,N,N/A,N,N,23.80559,18.8196,
812730758,809098968,851412537,Y,N,N,L22.SVG,R,-1,809098968,THA,GMS_TH.SVG,,13.93436,100.55796,N,N/A,N,N,23.80559,24.62317,
806966936,809113765,718642093,Y,Y,N,B23.SVG,L,718642093,809113765,THA,GMS_TH.SVG,EXIT_A_L,13.70975,100.40359,N,N/A,N,N,338.7637,324.75684,
806966936,809113765,718661449,Y,Y,N,B23.SVG,R,718661449,809113765,THA,GMS_TH.SVG,EXIT_A_R,13.70975,100.40359,N,N/A,N,N,338.7637,357.93929,
870529977,809149950,809149949,Y,N,Y,L23.SVG,R,-1,-1,THA,GMS_TH.SVG,,13.62367,100.73188,N,N/A,N,N,114.41555,114.31028,
870529977,809149950,820048640,Y,N,Y,L23.SVG,L,-1,-1,THA,GMS_TH.SVG,,13.62367,100.73188,N,N/A,N,N,114.41555,89.99999,
817635113,809166950,734026128,N,Y,N,B22.SVG,L,734026128,809166950,THA,GMS_TH.SVG,EXIT_A_L,13.78462,100.40978,N,N/A,N,N,174.9544,162.7356,
817635113,809166950,734050304,Y,Y,N,B22.SVG,R,734050304,809166950,THA,GMS_TH.SVG,EXIT_A_R,13.78462,100.40978,N,N/A,N,N,174.9544,186.15901,
806906808,809166965,734448854,N,N,N,L22.SVG,R,734448854,809166965,THA,GMS_TH.SVG,SON_A,13.7834,100.41048,N,N/A,N,N,101.09621,101.09621,
806906808,809166965,809166958,Y,N,N,L22.SVG,L,809166958,809166965,THA,GMS_TH.SVG,SON_A,13.7834,100.41048,N,N/A,N,N,101.09621,75.56468,
817714325,809166969,734140057,Y,Y,N,B22.SVG,R,734140057,809166969,THA,GMS_TH.SVG,EXIT_A_R,13.78182,100.40834,N,N/A,N,N,357.47227,7.47701,
817714325,809166969,734140058,N,Y,N,B22.SVG,L,734140058,809166969,THA,GMS_TH.SVG,EXIT_A_L,13.78182,100.40834,N,N/A,N,N,357.47227,354.95434,
