#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three
260;Y;6;2;4;2;null;6000;0;2529;0;0;0
201;Y;6;1;13;2;null;3578;0;7227;0;0;0
128;Y;5;2;14;2;null;9537;0;5228;0;0;0
79;N;3;2;0;1;null;9999;0;0;0;0;0
339;N;6;17;0;1;null;9590;0;0;0;0;0
184;N;5;12;14;2;null;9567;0;0;0;0;0
214;Y;6;1;26;2;null;3578;0;7256;0;0;0
256;N;6;2;0;1;null;0;0;0;0;0;0
51;Y;1;21;6;2;null;9996;0;7344;0;0;0
215;Y;6;1;27;2;null;3578;0;7258;0;0;0
141;Y;5;2;27;2;null;9537;0;20304;0;0;0
213;Y;6;1;25;2;null;3578;0;7253;0;0;0
33;Y;1;17;6;2;null;5800;0;10082;75;0;0
321;N;6;4;0;1;null;7994;0;0;0;0;0
87;N;4;2;0;1;null;9718;0;0;0;0;0
318;Y;6;2;62;2;null;6000;0;22004;0;0;0
315;Y;6;2;59;2;null;6000;0;9178;0;0;0
168;N;5;10;0;1;null;9988;0;0;0;0;0
62;N;2;5;2;2;null;7538;1;0;0;0;0
97;Y;4;9;3;2;null;7011;0;10021;0;0;0
325;N;6;8;0;1;null;9993;0;0;0;0;0
80;N;3;3;0;1;null;4170;0;0;0;0;0
83;N;3;6;0;1;null;9989;0;0;0;0;0
277;Y;6;2;21;2;null;6000;0;7250;0;0;0
261;Y;6;2;5;2;null;6000;0;2945;0;0;0
324;N;6;7;0;1;null;9583;24;0;0;0;0
145;N;5;3;0;1;null;0;0;0;0;0;0
16;N;1;15;0;1;null;0;0;0;0;0;0
192;Y;6;1;4;2;null;3578;0;2489;0;0;0
119;Y;5;2;5;2;null;9537;0;4293;0;0;0
210;Y;6;1;22;2;null;3578;0;7247;0;0;0
250;Y;6;1;62;2;null;3578;0;7325;0;0;0
24;Y;1;15;8;2;null;5800;0;10082;58;0;0
95;N;4;9;1;2;0;0;0;0;0;0;0
300;Y;6;2;44;2;null;6000;0;7303;0;0;0
133;Y;5;2;19;2;null;9537;0;6060;0;0;0
111;N;4;19;0;1;null;7389;0;0;0;0;0
204;Y;6;1;16;2;null;3578;0;7232;0;0;0
32;Y;1;17;5;2;null;5800;0;1885;75;0;0
146;N;5;3;1;2;0;0;0;0;0;0;0
194;Y;6;1;6;2;null;3578;0;2945;0;0;0
212;Y;6;1;24;2;null;3578;0;7250;0;0;0
320;N;6;3;0;1;null;9121;0;0;0;0;0
47;Y;1;21;2;2;null;9996;0;1390;0;0;0
348;N;8;3;0;1;null;9998;0;0;0;0;0
8;N;1;7;0;1;null;5800;0;0;10;0;0
314;Y;6;2;58;2;null;6000;0;9144;0;0;0
227;Y;6;1;39;2;null;3578;0;7272;0;0;0
217;Y;6;1;29;2;null;3578;0;7260;0;0;0
44;N;1;20;0;1;null;5800;0;0;87;0;0
208;Y;6;1;20;2;null;3578;0;7239;0;0;0
280;Y;6;2;24;2;null;6000;0;7258;0;0;0
34;N;1;17;7;2;null;5800;0;0;75;0;0
58;Y;2;3;0;1;null;7538;0;250;0;0;0
297;Y;6;2;41;2;null;6000;0;7292;0;0;0
231;Y;6;1;43;2;null;3578;0;7290;0;0;0
63;N;2;5;3;2;null;7538;2;0;0;0;0
336;N;6;14;0;1;null;9565;0;0;0;0;0
177;Y;5;12;7;2;null;9567;0;9719;0;0;0
243;Y;6;1;55;2;null;3578;0;7314;0;0;0
268;Y;6;2;12;2;null;6000;0;7229;0;0;0
340;N;6;18;0;1;null;8211;0;0;0;0;0
86;N;4;1;0;1;null;7996;0;0;0;0;0
38;Y;1;19;2;2;null;5800;0;1498;85;0;0
26;N;1;16;0;1;null;5800;0;0;73;0;0
166;N;5;8;0;1;null;9986;0;0;0;0;0
233;Y;6;1;45;2;null;3578;0;7292;0;0;0
11;N;1;10;0;1;null;5800;0;0;36;0;0
254;Y;6;1;66;2;null;3578;0;9178;0;0;0
347;N;8;2;0;1;null;4444;0;0;0;0;0
272;Y;6;2;16;2;null;6000;0;7235;0;0;0
239;Y;6;1;51;2;null;3578;0;7305;0;0;0
322;N;6;5;0;1;null;7990;0;0;0;0;0
221;Y;6;1;33;2;null;3578;0;7265;0;0;0
154;N;5;3;9;2;null;9987;0;0;0;0;0
102;N;4;10;0;1;null;7013;0;0;0;0;0
124;Y;5;2;10;2;null;9537;0;4554;0;0;0
22;Y;1;15;6;2;null;5800;0;1858;58;0;0
60;N;2;5;0;1;null;0;0;0;0;0;0
142;Y;5;2;28;2;null;9537;0;25038;0;0;0
258;Y;6;2;2;2;null;6000;0;1106;0;0;0
42;Y;1;19;6;2;null;5800;0;10058;85;0;0
121;Y;5;2;7;2;null;9537;0;4336;0;0;0
159;N;5;7;1;2;0;0;0;0;0;0;0
248;Y;6;1;60;2;null;3578;0;7323;0;0;0
67;N;2;7;0;1;null;7520;0;0;0;0;0
157;N;5;6;0;1;null;9567;46;0;0;0;0
263;Y;6;2;7;2;null;6000;0;6811;0;0;0
169;N;5;11;0;1;null;9537;50;0;0;0;0
139;Y;5;2;25;2;null;9537;0;9199;0;0;0
155;N;5;4;0;1;null;9535;0;0;0;0;0
222;Y;6;1;34;2;null;3578;0;7266;0;0;0
140;Y;5;2;26;2;null;9537;0;9721;0;0;0
188;N;6;1;0;1;null;0;0;0;0;0;0
311;Y;6;2;55;2;null;6000;0;7326;0;0;0
104;N;4;12;0;1;null;8410;0;0;0;0;0
