#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;genre_type;org_code;sub_category;chain_id;cuisine_id;building_type;three
299;Y;5;2;57;2;null;9537;0;23064;0;0;0
186;N;4;1;0;1;null;7996;0;0;0;0;0
657;Y;6;2;33;2;null;6000;0;6945;0;0;0
318;N;5;4;1;2;0;0;0;0;0;0;0
486;Y;5;15;4;2;null;9568;0;23819;0;0;0
46;Y;1;15;21;2;null;5800;0;8093;27;0;0
413;Y;5;7;5;2;null;5400;0;3665;0;0;0
262;Y;5;2;20;2;null;9537;0;5086;0;0;0
319;Y;5;4;2;2;null;9987;0;3920;0;0;0
504;Y;6;1;8;2;null;3578;0;3625;0;0;0
233;Y;5;1;6;2;null;9995;0;20403;0;0;0
817;N;6;15;0;1;null;0;0;0;0;0;9589
265;Y;5;2;23;2;null;9537;0;5189;0;0;0
19;N;1;9;0;1;null;5800;0;0;13;0;0
8;N;1;7;0;1;null;0;0;0;0;0;0
274;Y;5;2;32;2;null;9537;0;8654;0;0;0
621;Y;6;1;125;2;null;3578;0;24808;0;0;0
159;Y;2;8;26;2;null;5540;0;21436;0;0;0
433;N;5;7;25;2;null;5400;0;0;0;0;0
167;N;2;10;0;1;null;0;0;0;0;0;0
379;Y;5;5;35;2;null;9535;0;21022;0;0;0
791;N;6;10;6;2;null;9583;0;0;0;0;0
775;Y;6;2;151;2;null;6000;0;24520;0;0;0
35;Y;1;15;10;2;null;5800;0;6348;27;0;0
266;Y;5;2;24;2;null;9537;0;5911;0;0;0
697;Y;6;2;73;2;null;6000;0;7414;0;0;0
169;N;2;10;2;2;null;7538;1;0;0;0;0
304;Y;5;2;62;2;null;9537;0;23070;0;0;0
302;Y;5;2;60;2;null;9537;0;23068;0;0;0
326;Y;5;4;9;2;null;9987;0;8706;0;0;0
195;N;4;10;0;1;null;7013;20;0;0;0;0
60;N;1;16;0;1;null;5800;0;0;28;0;0
67;N;1;23;0;1;null;5800;0;0;47;0;0
64;N;1;20;0;1;null;5800;0;0;37;0;0
421;Y;5;7;13;2;null;5400;0;8578;0;0;0
144;Y;2;8;11;2;null;5540;0;3678;0;0;0
377;Y;5;5;33;2;null;9535;0;9814;0;0;0
510;Y;6;1;14;2;null;3578;0;3638;0;0;0
524;Y;6;1;28;2;null;3578;0;6919;0;0;0
756;Y;6;2;132;2;null;6000;0;21012;0;0;0
192;N;4;7;0;1;null;9573;0;0;0;0;0
392;Y;5;5;48;2;null;9535;0;23059;0;0;0
163;Y;2;8;30;2;null;5540;0;22346;0;0;0
534;Y;6;1;38;2;null;3578;0;6956;0;0;0
97;Y;1;38;9;2;null;9996;0;6961;0;0;0
411;Y;5;7;3;2;null;5400;0;44;0;0;0
124;N;1;39;0;1;null;5800;0;0;0;0;0
609;Y;6;1;113;2;null;3578;0;21015;0;0;0
664;Y;6;2;40;2;null;6000;0;6955;0;0;0
139;Y;2;8;6;2;null;5540;0;878;0;0;0
592;Y;6;1;96;2;null;3578;0;8686;0;0;0
271;Y;5;2;29;2;null;9537;0;7635;0;0;0
538;Y;6;1;42;2;null;3578;0;6976;0;0;0
458;N;5;11;0;1;null;0;0;0;0;0;9559
785;N;6;10;0;1;null;0;0;0;0;0;0
823;N;6;21;0;1;null;0;0;0;0;0;9578
133;N;2;8;0;1;null;0;0;0;0;0;0
244;Y;5;2;2;2;null;9537;0;1083;0;0;0
718;Y;6;2;94;2;null;6000;0;7870;0;0;0
122;Y;1;38;34;2;null;9996;0;24978;0;0;0
521;Y;6;1;25;2;null;3578;0;4467;0;0;0
54;Y;1;15;29;2;null;5800;0;22388;27;0;0
806;Y;6;12;13;2;null;9565;0;8702;0;0;0
458;N;5;11;0;1;null;0;0;0;0;0;9549
512;Y;6;1;16;2;null;3578;0;3643;0;0;0
130;N;2;5;0;1;null;5512;0;0;0;0;0
75;Y;1;27;4;2;null;5800;0;1522;58;0;0
195;N;4;10;0;1;null;7013;19;0;0;0;0
620;Y;6;1;124;2;null;3578;0;24155;0;0;0
543;Y;6;1;47;2;null;3578;0;7058;0;0;0
173;N;2;12;0;1;null;0;0;0;0;0;9528
255;Y;5;2;13;2;null;9537;0;4332;0;0;0
823;N;6;21;0;1;null;9596;87;0;0;0;0
488;Y;5;15;6;2;null;9568;0;24806;0;0;0
686;Y;6;2;62;2;null;6000;0;7393;0;0;0
305;Y;5;2;63;2;null;9537;0;23071;0;0;0
678;Y;6;2;54;2;null;6000;0;7087;0;0;0
786;N;6;10;1;2;0;0;0;0;0;0;0
420;Y;5;7;12;2;null;5400;0;8153;0;0;0
175;N;3;1;0;1;null;4581;0;0;0;0;0
224;N;4;17;0;1;null;0;0;0;0;0;9572
422;Y;5;7;14;2;null;5400;0;8648;0;0;0
192;N;4;7;0;1;null;0;0;0;0;0;9573
