#gen_0;gen_1;gen_2;level;genre_is_brand;importance;genre_type;org_code1;org_code2;chaincode;genre_id
9;4;98;2;Y;;null;150101;;601A;1545
1;3;12;2;Y;;null;110103;;333F;132
1;5;47;2;Y;;null;110101;;412C;411
2;4;13;2;Y;;null;130106;;2F4B;681
2;6;25;2;Y;;null;130301;;2255;746
9;4;84;2;Y;;null;150101;;606E;1571
4;2;94;2;Y;;null;120101;;330D;1178
1;2;26;2;Y;;null;110200;;3433;93
4;3;10;2;Y;;null;120102;;1035;1328
1;5;67;2;Y;;null;110101;;3109;393
1;5;109;2;Y;;null;110101;;330B;365
5;12;5;2;Y;;null;180201;;3420;1406
1;5;39;2;Y;;null;110101;;355D;425
9;2;0;1;N;;null;210204;;;1478
1;3;16;2;Y;;null;110103;;335F;129
4;3;103;2;Y;;null;120102;;34FD;1252
2;2;1;2;Y;;null;130105;;34D5;491
2;21;12;2;Y;;null;130303;;3546;933
1;5;174;2;Y;;null;110101;;2FA0;288
4;4;0;1;N;;null;180302;;;1364
4;2;126;2;Y;;null;120101;;100C;1013
2;24;10;2;Y;;null;130603;;2238;949
9;4;115;2;Y;;null;150101;;6074;1552
1;2;5;2;Y;;null;110200;;414B;17
2;4;7;2;Y;;null;130106;;222D;620
5;7;5;2;Y;;null;180307;;3546;1378
4;3;64;2;Y;;null;120102;;3618;1361
9;3;1;2;Y;;null;210207;;2F73;1489
2;9;17;2;Y;;null;130201;;248D;795
4;3;127;2;Y;;null;120102;;1302;1265
1;2;114;2;Y;;null;110200;;3055;117
1;5;103;2;Y;;null;110101;;3041;247
1;8;6;2;Y;;null;110302;;3069;482
5;9;14;2;Y;;null;180209;;348B;1386
9;10;7;2;Y;;null;210301;;6403;1633
2;4;72;2;Y;;null;130106;;2F44;647
4;2;56;2;Y;;null;120101;;4059;1155
1;2;68;2;Y;;null;110200;;3119;111
6;3;1;2;N;;null;190201;;;1649
1;5;219;2;Y;;null;110101;;356C;220
1;2;97;2;Y;;null;110200;;3414;30
5;9;17;2;Y;;null;180209;;800D;1383
9;4;42;2;Y;;null;150101;;6040;1570
4;2;187;2;Y;;null;120101;;1083;1115
2;24;6;2;Y;;null;130603;;2F00;957
1;5;12;2;Y;;null;110101;;3076;444
1;2;106;2;Y;;null;110200;;3437;70
5;9;9;2;Y;;null;180209;;34CC;1399
5;9;8;2;Y;;null;180209;;4122;1398
2;6;36;2;Y;;null;130301;;3482;719
1;2;12;2;Y;;null;110200;;334B;107
7;4;2;2;Y;;null;210302;;2FFE;1454
1;5;74;2;Y;;null;110101;;3037;389
1;8;15;2;Y;;null;110302;;3059;476
1;2;37;2;Y;;null;110200;;333F;33
1;8;17;2;Y;;null;110302;;3489;486
4;3;6;2;Y;;null;120102;;3619;1318
2;15;17;2;Y;;null;130405;;2259;895
2;24;3;2;Y;;null;130603;;2F02;955
2;16;0;1;N;;null;130302;;;899
1;5;162;2;Y;;null;110101;;2F91;217
1;4;58;2;Y;;null;110102;;3135;174
2;14;22;2;Y;;null;130406;;227B;839
4;2;61;2;Y;;null;120101;;10DA;1126
2;13;15;2;Y;;null;130501;;3565;814
2;4;69;2;Y;;null;130106;;2F36;627
9;4;26;2;Y;;null;150101;;6010;1560
9;4;37;2;Y;;null;150101;;6015;1534
4;3;19;2;Y;;null;120102;;106A;1223
1;5;175;2;Y;;null;110101;;3439;286
9;4;34;2;Y;;null;150101;;6020;1554
4;2;191;2;Y;;null;120101;;10B8;1158
5;7;1;2;Y;;null;180307;;2F88;1377
2;15;21;2;Y;;null;130405;;34BA;894
4;3;55;2;Y;;null;120102;;1058;1359
2;3;77;2;Y;;null;130102;;2F2E;573
1;5;108;2;Y;;null;110101;;312F;427
1;2;51;2;Y;;null;110200;;3116;72
1;2;6;2;Y;;null;110200;;3109;108
10;0;0;0;N;;1;;;;-1
4;3;95;2;Y;;null;120102;;351C;1277
2;9;6;2;Y;;null;130201;;248B;803
4;3;105;2;Y;;null;120102;;103A;1320
2;15;33;2;Y;;null;130405;;226B;874
4;3;99;2;Y;;null;120102;;106B;1267
1;5;41;2;Y;;null;110101;;2F97;414
1;4;69;2;Y;;null;110102;;303F;154
2;9;23;2;Y;;null;130201;;2489;790
2;4;3;2;Y;;null;130106;;2214;651
4;2;50;2;Y;;null;120101;;4110;1105
2;21;7;2;Y;;null;130303;;230D;929
2;4;68;2;Y;;null;130106;;2221;660
9;4;20;2;Y;;null;150101;;605A;1593
1;4;61;2;Y;;null;110102;;2F93;173
4;2;144;2;Y;;null;120101;;1005;1041
2;4;81;2;Y;;null;130106;;2F6E;626
4;2;159;2;Y;;null;120101;;10D2;1135
7;7;0;1;N;;null;230206;230207;;1463
4;2;40;2;Y;;null;120101;;10BF;1102
4;3;125;2;Y;;null;120102;;1084;1335
2;4;2;2;Y;;null;130106;;2F57;622
4;3;142;2;Y;;null;120102;;103B;1312
5;8;0;1;N;;null;180303;;;1379
1;5;63;2;Y;;null;110101;;345E;312
5;9;5;2;Y;;null;180209;;800E;1394
1;4;56;2;Y;;null;110102;;3043;175
9;4;79;2;Y;;null;150101;;6009;1573
9;4;99;2;Y;;null;150101;;6043;1569
5;1;0;1;N;;0;;;;1367
2;2;26;2;Y;;null;130105;;222C;497
1;5;101;2;Y;;null;110101;;3032;422
2;3;55;2;Y;;null;130102;;2F1F;535
2;14;21;2;Y;;null;130406;;2202;857
1;6;3;2;Y;;null;110301;;4124;456
2;2;28;2;Y;;null;130105;;221C;499
2;4;82;2;Y;;null;130106;;2219;666
9;4;107;2;Y;;null;150101;;604A;1582
4;3;48;2;Y;;null;120102;;3500;1302
3;8;10;2;Y;;null;230215;;2006;975
3;7;4;2;Y;;null;200201;;8003;967
2;3;3;2;Y;;null;130102;;2F63;550
2;8;5;2;Y;;null;130203;;220B;772
1;2;32;2;Y;;null;110200;;3325;86
2;6;39;2;Y;;null;130301;;2261;757
4;2;7;2;Y;;null;120101;;4101;1130
4;2;38;2;Y;;null;120101;;4070;1200
2;6;16;2;Y;;null;130301;;34AC;762
4;3;61;2;Y;;null;120102;;1007;1278
2;3;41;2;Y;;null;130102;;2F34;547
2;4;22;2;Y;;null;130106;;2F4A;657
1;4;70;2;Y;;null;110102;;3320;161
4;3;120;2;Y;;null;120102;;405C;1224
1;6;1;2;Y;;null;110301;;3420;458
2;15;20;2;Y;;null;130405;;34AA;878
1;2;67;2;Y;;null;110200;;3369;57
4;3;81;2;Y;;null;120102;;1038;1352
2;21;6;2;Y;;null;130303;;3548;931
1;5;21;2;Y;;null;110101;;3322;445
2;6;55;2;Y;;null;130301;;2267;711
1;2;112;2;Y;;null;110200;;412C;16
2;4;9;2;Y;;null;130106;;3551;684
9;2;4;2;Y;;null;210204;;34C8;1480
4;2;170;2;Y;;null;120101;;408C;1028
9;4;95;2;Y;;null;150101;;6045;1584
4;2;210;2;Y;;null;120101;;1064;1003
7;4;8;2;Y;;null;210302;;2FF6;1459
1;2;72;2;Y;;null;110200;;3056;55
1;2;22;2;Y;;null;110200;;3048;63
9;4;121;2;Y;;null;150101;;6060;1525
3;6;0;1;N;;null;140301;;404A;964
1;3;18;2;Y;;null;110103;;3031;138
1;2;9;2;Y;;null;110200;;3128;101
2;2;24;2;Y;;null;130105;;2F41;519
2;8;6;2;Y;;null;130203;;2208;771
1;5;177;2;Y;;null;110101;;308D;250
1;5;83;2;Y;;null;110101;;3462;383
3;5;0;1;N;;null;140301;;400C;963
1;5;10;2;Y;;null;110101;;332D;311
1;5;17;2;Y;;null;110101;;3366;358
