#genre_id;genre_is_brand;gen_0;gen_1;gen_2;genre_level;name;genre_type;org_code;series;lang;filename
173;N;5;5;1;2;所有大型文具書店;0;0;;CHT;
174;Y;5;5;2;2;１０１文具天堂;null;307700;１０１文具天堂;CHT;
175;Y;5;5;3;2;金玉堂文具批發廣場;null;307700;金玉堂文具批發廣場;CHT;
176;Y;5;5;4;2;金石堂文化廣場;null;307700;金石堂文化廣場;CHT;
177;N;5;5;5;2;其它大型文具書店;null;307700;;CHT;
178;N;5;6;0;1;專賣街;null;308700;;CHT;
179;N;5;7;0;1;其它商業設施;null;0;;CHT;
180;N;5;7;1;2;所有商業設施;0;0;;CHT;
181;Y;5;7;2;2;３Ｃ家電;null;308000;３Ｃ家電;CHT;
182;Y;5;7;3;2;ｅＣｏｓｗａｙ;null;308000;ｅＣｏｓｗａｙ;CHT;
183;Y;5;7;4;2;ＧＩＡＮＴ;null;308000;ＧＩＡＮＴ;CHT;
184;Y;5;7;5;2;Ｍｉｓｔｅｒ　Ｄｏｎｕｔ;null;308000;Ｍｉｓｔｅｒ　Ｄｏｎｕｔ;CHT;
185;Y;5;7;6;2;Ｙａｍａｚａｋｉ;null;308000;Ｙａｍａｚａｋｉ;CHT;
186;Y;5;7;7;2;格上租車;null;308000;格上租車;CHT;
187;Y;5;7;8;2;燦坤３Ｃ;null;308000;燦坤３Ｃ;CHT;
188;Y;5;7;9;2;全國電子;null;308000;全國電子;CHT;
189;Y;5;7;10;2;台灣菸酒公司;null;308000;台灣菸酒公司;CHT;
190;Y;5;7;11;2;大同３Ｃ;null;308000;大同３Ｃ;CHT;
191;Y;5;7;12;2;無毒的家;null;308000;無毒的家;CHT;
192;Y;5;7;13;2;和運租車;null;308000;和運租車;CHT;
193;N;5;7;14;2;其它商業設施;null;308000;;CHT;
194;N;6;0;0;0;社區;null;0;;CHT;
195;N;6;1;0;1;中央機關;null;300100;;CHT;
196;N;6;2;0;1;直轄市．省機關;null;300200;;CHT;
197;N;6;3;0;1;省轄市區鄉鎮市機關;null;300300;;CHT;
198;N;6;4;0;1;警察局;null;300500;;CHT;
199;N;6;5;0;1;消防隊;null;300600;;CHT;
200;N;6;6;0;1;郵局;null;300700;;CHT;
201;N;6;7;0;1;法院;null;301100;;CHT;
202;N;6;8;0;1;交通裁決所．監理所;null;301200;;CHT;
203;N;6;9;0;1;學校;null;0;;CHT;
204;N;6;9;1;2;所有學校;0;0;;CHT;
205;N;6;9;2;2;幼兒園;null;302700;;CHT;
206;N;6;9;3;2;國小;null;302600;;CHT;
207;N;6;9;4;2;國中;null;302500;;CHT;
208;N;6;9;5;2;高中高職;null;302400;;CHT;
209;N;6;9;6;2;大專院校;null;302100;;CHT;
210;N;6;10;0;1;補習班;null;304000;;CHT;
211;N;6;11;0;1;醫院;null;304500;;CHT;
