#per_code;is_brand;gen1;gen2;gen3;level;name;genre_type;org_code;sub;chain;cuisine;building;three;lang;filename
29;N;1;17;0;1;Argentinean Food;;5800;0;0;95;0;0;;
30;N;1;18;0;1;Coffee Shop  ;;5800;0;0;0;0;0;;
31;N;1;19;0;1;Others;;5800;0;0;0;0;0;;
32;N;2;0;0;0;Automotive Facility;;0;0;0;0;0;0;;
33;Y;2;1;0;1; Toyota dealership;;5511;0;251;0;0;0;;
34;Y;2;2;0;1; Toyota Repair;;7538;0;251;0;0;0;;
35;N;2;3;0;1; Auto Dealership-Used Cars  ;;5512;0;0;0;0;0;;
36;N;2;4;0;1; Auto Dealerships  ;;0;0;0;0;0;0;;
37;N;2;5;0;1; Auto Service & Maintenance  ;;0;0;0;0;0;0;;
38;N;2;5;1;2;All Auto Service & Maintenance  ;;0;0;0;0;0;0;;
39;N;2;5;2;2;Car Wash;;7538;1;0;0;0;0;;
40;N;2;5;3;2;Auto Parts;;7538;2;0;0;0;0;;
41;N;2;5;4;2;Car Repair;;0;0;0;0;0;0;;
42;N;2;5;5;2;Truck Repair;;0;0;0;0;0;0;;
43;N;2;5;6;2;Tire Repair;;7538;5;0;0;0;0;;
44;N;2;5;7;2;Emission Testing;;0;0;0;0;0;0;;
45;N;2;5;8;2;Other Auto Service & Maintenance ;;7538;0;0;0;0;0;;
46;N;2;6;0;1; Motorcycle Dealership  ;;5571;0;0;0;0;0;;
47;N;2;7;0;1; Park & Ride  ;;0;0;0;0;0;0;;
48;N;2;8;0;1; Parking Garage/House  ;;7521;0;0;0;0;0;;
49;N;2;9;0;1; Parking Lot  ;;7520;0;0;0;0;0;;
50;N;2;9;1;2;Cellphone Parking Lot;;0;0;0;0;0;0;;
51;N;2;10;0;1; Petrol/Gasoline Station  ;;0;0;0;0;0;0;;
52;N;2;10;1;2;All Petrol/Gasoline Station  ;;5540;0;0;0;0;0;;
53;N;2;10;2;2;Esso;;5540;8;0;0;0;0;;
54;N;2;10;3;2;Shell;;5540;10;0;0;0;0;;
55;N;2;10;4;2;Oil;;5540;932;0;0;0;0;;
56;N;2;10;5;2;Petrobras;;5540;4017;0;0;0;0;;
57;N;2;10;6;2;Eg3;;5540;4018;0;0;0;0;;
58;N;2;10;7;2;Rhasa;;5540;4020;0;0;0;0;;
59;N;2;10;8;2;Ypf;;5540;4027;0;0;0;0;;
60;N;2;10;9;2;Sol;;5540;5506;0;0;0;0;;
61;N;2;10;10;2;Shell;;5540;10101;0;0;0;0;;
62;N;2;10;11;2;Refinor;;5540;20028;0;0;0;0;;
63;N;2;10;12;2;Other Petrol/Gasoline Station  ;;5540;0;0;0;0;0;;
64;N;2;11;0;1; Rental Car Agency  ;;7510;0;0;0;0;0;;
65;N;2;12;0;1; Truck Dealership  ;;0;0;0;0;0;0;;
66;N;2;13;0;1; CAR WASH/DETAILING  ;;0;0;0;0;0;9519;;
67;N;3;0;0;0;Transportation;;0;0;0;0;0;0;;
68;N;3;1;0;1; Airport  ;;4581;0;0;0;0;0;;
69;N;3;2;0;1; Border Crossing  ;;9999;0;0;0;0;0;;
70;N;3;3;0;1; Bus Station  ;;4170;0;0;0;0;0;;
71;N;3;4;0;1; Commuter Rail Station  ;;4100;0;0;0;0;0;;
72;N;3;5;0;1; Underground Train/Subway;;4100;28;0;0;0;0;;
73;N;3;5;1;2;Commuter Train;;4100;29;0;0;0;0;;
74;N;3;6;0;1; Ferry Terminal  ;;4482;0;0;0;0;0;;
75;N;3;6;1;2;Boat Ferry;;4482;62;0;0;0;0;;
76;N;3;7;0;1; Rest Area  ;;7897;0;0;0;0;0;;
77;N;3;8;0;1; Taxi Stand  ;;9989;0;0;0;0;0;;
78;N;3;9;0;1; Train Station  ;;4013;0;0;0;0;0;;
79;N;3;10;0;1; Transportation Service  ;;9593;0;0;0;0;0;;
80;N;3;11;0;1; Truck Parking  ;;9720;0;0;0;0;0;;
81;N;3;12;0;1; Truck Stop/Plaza  ;;9522;0;0;0;0;0;;
82;N;3;13;0;1; Weigh Station  ;;9710;0;0;0;0;0;;
83;N;3;14;0;1; Other Transportation;;0;0;0;0;0;0;;
84;N;4;0;0;0;Tourism;;0;0;0;0;0;0;;
85;N;4;1;0;1; Historical Monument  ;;5999;0;0;0;0;0;;
86;N;4;2;0;1; Hotel/Motel;;7011;0;0;0;0;0;;
87;N;4;2;1;2;Hotel;;7011;17;0;0;0;0;;
88;N;4;2;2;2;Motel;;7011;18;0;0;0;0;;
89;N;4;3;0;1; Other Accommodation  ;;7013;0;0;0;0;0;;
90;N;4;3;1;2;Guest House;;7013;19;0;0;0;0;;
91;N;4;3;2;2;Hostel;;7013;20;0;0;0;0;;
92;N;4;3;3;2;Holiday Park;;7013;21;0;0;0;0;;
93;N;4;3;4;2;Bed & Breakfast;;7013;22;0;0;0;0;;
94;N;4;4;0;1; Tourist Attraction  ;;7999;0;0;0;0;0;;
95;N;4;5;0;1; Tourist Information  ;;7389;0;0;0;0;0;;
96;N;5;0;0;0;Shopping;;0;0;0;0;0;0;;
97;N;5;1;0;1; Bookstore  ;;9995;0;0;0;0;0;;
98;N;5;2;0;1; Clothing Store  ;;0;0;0;0;0;0;;
99;N;5;2;1;2;All Clothing Store  ;;9537;0;0;0;0;0;;
100;Y;5;2;2;2;Mauro Sergio;;9537;0;24368;0;0;0;;
101;Y;5;2;3;2;Muaa;;9537;0;24371;0;0;0;;
102;Y;5;2;4;2;Narrow;;9537;0;24372;0;0;0;;
103;Y;5;2;5;2;Sweet;;9537;0;24384;0;0;0;;
104;Y;5;2;6;2;Wanama;;9537;0;24390;0;0;0;;
105;Y;5;2;7;2;Cardon;;9537;0;24466;0;0;0;;
106;Y;5;2;8;2;Caro Cuore;;9537;0;24467;0;0;0;;
107;Y;5;2;9;2;Cheeky;;9537;0;24468;0;0;0;;
108;Y;5;2;10;2;Crayon;;9537;0;24471;0;0;0;;
109;Y;5;2;11;2;Grimoldi;;9537;0;24474;0;0;0;;
110;Y;5;2;12;2;Kevingston;;9537;0;24478;0;0;0;;
111;Y;5;2;13;2;Kosiuko;;9537;0;24479;0;0;0;;
112;Y;5;2;14;2;Legacy;;9537;0;24481;0;0;0;;
113;N;5;2;15;2;Other Clothing Store  ;;9537;0;0;0;0;0;;
114;N;5;2;16;2;Men's Apparel;;9537;47;0;0;0;0;;
115;N;5;2;17;2;Women's Apparel;;9537;48;0;0;0;0;;
116;N;5;2;18;2;Children's Apparel;;9537;49;0;0;0;0;;
117;N;5;3;0;1; Shoes / Footwear Store;;9537;50;0;0;0;0;;
118;N;5;4;0;1; SPECIALTY CLOTHING STORE  ;;0;0;0;0;0;9540;;
119;N;5;5;0;1; Other Clothing Store;;9537;0;0;0;0;0;;
120;N;5;6;0;1; Consumer Electronics Store  ;;0;0;0;0;0;0;;
121;N;5;6;1;2;All Consumer Electronics Store;;9987;0;0;0;0;0;;
122;N;5;6;2;2;Mobile Retailer;;9987;70;0;0;0;0;;
123;N;5;6;3;2;Mobile Service Center;;9987;71;0;0;0;0;;
124;N;5;6;4;2;Other Consumer Electronics Store;;9987;0;0;0;0;0;;
125;N;5;7;0;1; Convenience Store  ;;9535;0;0;0;0;0;;
126;N;5;8;0;1; Department Store  ;;9545;0;0;0;0;0;;
127;N;5;9;0;1; Grocery Store  ;;0;0;0;0;0;0;;
128;N;5;9;1;2;All Grocery Store ;;5400;0;0;0;0;0;;
129;Y;5;9;2;2;Carrefour;;5400;0;42;0;0;0;;
130;Y;5;9;3;2;Dia;;5400;0;1779;0;0;0;;
131;Y;5;9;4;2;Coto;;5400;0;4023;0;0;0;;
132;Y;5;9;5;2;Eki;;5400;0;4024;0;0;0;;
133;Y;5;9;6;2;Disco;;5400;0;4025;0;0;0;;
134;Y;5;9;7;2;La Anónima;;5400;0;9281;0;0;0;;
135;Y;5;9;8;2;Carrefour;;5400;0;10035;0;0;0;;
136;Y;5;9;9;2;Super Vea;;5400;0;20024;0;0;0;;
137;N;5;9;10;2;Other Grocery Store ;;5400;0;0;0;0;0;;
138;N;5;10;0;1; Home Improvement & Hardware Store  ;;9986;0;0;0;0;0;;
139;N;5;10;1;2;Power Equipment Dealer;;9986;77;0;0;0;0;;
140;N;5;11;0;1; Home Specialty Store  ;;9560;0;0;0;0;0;;
141;N;5;12;0;1; Office Supply & Services Store  ;;9988;0;0;0;0;0;;
142;N;5;13;0;1;Shopping Center  ;;6512;0;0;0;0;0;;
143;N;5;14;0;1; Other Shopping  ;;0;0;0;0;0;0;;
144;N;5;15;0;1; Specialty Store  ;;9567;0;0;0;0;0;;
145;N;5;15;1;2; Pet Supply;;9567;44;0;0;0;0;;
146;N;5;15;2;2;Warehouse/Wholesale;;9567;45;0;0;0;0;;
147;N;5;16;0;1; Food/Beverage Store;;9567;46;0;0;0;0;;
148;N;5;17;0;1; Sporting Goods Store  ;;9568;0;0;0;0;0;;
149;N;5;18;0;1; MEN'S APPAREL  ;;0;0;0;0;0;9538;;
150;N;5;19;0;1; SHOE STORE  ;;0;0;0;0;0;9539;;
151;N;5;20;0;1; WOMEN'S APPAREL  ;;0;0;0;0;0;9541;;
152;N;5;21;0;1; VARIETY STORE  ;;0;0;0;0;0;9548;;
153;N;5;22;0;1; GARDEN CENTER  ;;0;0;0;0;0;9549;;
154;N;5;23;0;1; GLASS & WINDOW  ;;0;0;0;0;0;9550;;
155;N;5;24;0;1; Hardware Store  ;;0;0;0;0;0;9551;;
156;N;5;25;0;1; Home Center  ;;0;0;0;0;0;9552;;
157;N;5;26;0;1; Lumber  ;;0;0;0;0;0;9553;;
158;N;5;27;0;1; ENTERTAINMENT ELECTRONICS  ;;0;0;0;0;0;9556;;
159;N;5;28;0;1; FLOOR & CARPET  ;;0;0;0;0;0;9557;;
160;N;5;29;0;1; FURNITURE STORE  ;;0;0;0;0;0;9558;;
161;N;5;30;0;1; MAJOR APPLIANCE  ;;0;0;0;0;0;9559;;
162;N;5;31;0;1; COMPUTER & SOFTWARE  ;;0;0;0;0;0;9561;;
163;N;5;32;0;1; FLOWERS & JEWELRY  ;;0;0;0;0;0;9562;;
164;N;5;33;0;1; GIFT. ANTIQUE, & ART  ;;0;0;0;0;0;9563;;
165;N;5;34;0;1; OPTICAL  ;;0;0;0;0;0;9564;;
166;N;5;35;0;1; RECORD, CD, & VIDEO  ;;0;0;0;0;0;9566;;
167;N;5;36;0;1; WINE & LIQUOR  ;;0;0;0;0;0;9569;;
168;N;5;37;0;1; OTHER GENERAL MERCHANDISE  ;;0;0;0;0;0;9547;;
169;N;5;38;0;1; OTHER HOUSE & GARDEN  ;;0;0;0;0;0;0;;
170;N;6;0;0;0;Leisure;;0;0;0;0;0;0;;
171;N;6;1;0;1; Amusement Park  ;;7996;0;0;0;0;0;;
172;N;6;2;0;1; Zoo;;9718;0;0;0;0;0;;
173;N;6;2;1;2;Wild Animal Park;;9578;56;0;0;0;0;;
174;N;6;2;2;2;Wildlife Refuge;;9578;57;0;0;0;0;;
175;N;6;3;0;1; Aquarium;;9718;58;0;0;0;0;;
176;N;6;4;0;1; Bowling Centre  ;;7933;0;0;0;0;0;;
177;N;6;5;0;1; Campground  ;;9517;0;0;0;0;0;;
178;N;6;6;0;1; Cinema  ;;7832;0;0;0;0;0;;
179;N;6;7;0;1; Golf Course  ;;7992;0;0;0;0;0;;
180;N;6;8;0;1; Ice Skating Rink  ;;7998;0;0;0;0;0;;
181;N;6;9;0;1; Marina  ;;4493;0;0;0;0;0;;
182;N;6;10;0;1; Museum  ;;0;0;0;0;0;0;;
183;N;6;10;1;2;All Museum;;8410;0;0;0;0;0;;
184;N;6;10;2;2;Science;;8410;66;0;0;0;0;;
185;N;6;10;3;2;History;;8410;68;0;0;0;0;;
186;N;6;10;4;2;Art;;8410;69;0;0;0;0;;
187;N;6;10;5;2;Other Museum;;8410;0;0;0;0;0;;
188;N;6;11;0;1; Nightlife  ;;5813;0;0;0;0;0;;
189;N;6;11;1;2;Bar/Pub/Stube/ Biergarten;;5813;34;0;0;0;0;;
190;N;6;11;2;2;Night Club;;5813;36;0;0;0;0;;
191;N;6;11;3;2;Dancing;;5813;37;0;0;0;0;;
192;N;6;11;4;2;Karaoke;;5813;38;0;0;0;0;;
193;N;6;11;5;2;Live Entertainment/Music/Cabaret;;5813;39;0;0;0;0;;
194;N;6;11;6;2;Billiards/Pool Hall;;5813;40;0;0;0;0;;
195;N;6;11;7;2;Video/Arcade/Gaming Room;;5813;41;0;0;0;0;;
196;N;6;11;8;2;Jazz Club;;5813;42;0;0;0;0;;
197;N;6;12;0;1; Park/Recreation Area  ;;0;0;0;0;0;0;;
198;N;6;12;1;2;All Park/Recreation Area;;7947;0;0;0;0;0;;
199;N;6;12;2;2;Garden;;7947;59;0;0;0;0;;
200;N;6;12;3;2;Beach;;7947;60;0;0;0;0;;
201;N;6;12;4;2;Sports Field;;7947;61;0;0;0;0;;
202;N;6;12;5;2;Other Park/Recreation Area ;;7947;0;0;0;0;0;;
203;N;6;13;0;1; Performing Arts  ;;7929;0;0;0;0;0;;
204;N;6;14;0;1; Ski Lift  ;;0;0;0;0;0;0;;
205;N;6;15;0;1; Ski Resort  ;;7012;0;0;0;0;0;;
206;N;6;16;0;1; Sports Centre  ;;7997;0;0;0;0;0;;
207;N;6;16;1;2;Fitness & Health Club;;7997;7;0;0;0;0;;
208;N;6;16;2;2;Shooting Range;;7997;9;0;0;0;0;;
209;N;6;16;3;2;Soccer Club;;7997;11;0;0;0;0;;
210;N;6;16;4;2;Squash;;7997;12;0;0;0;0;;
211;N;6;16;5;2;Swimming Pool;;7997;13;0;0;0;0;;
212;N;6;16;6;2;Tennis Court;;7997;14;0;0;0;0;;
213;N;6;16;7;2;Indoor Sports;;7997;15;0;0;0;0;;
214;N;6;16;8;2;Hockey;;7997;16;0;0;0;0;;
215;N;6;16;9;2;Basketball;;7997;72;0;0;0;0;;
216;N;6;16;10;2;Badminton;;7997;73;0;0;0;0;;
217;N;6;16;11;2;Rugby;;7997;75;0;0;0;0;;
218;N;6;16;12;2;Diving Centre;;7997;76;0;0;0;0;;
219;N;6;17;0;1; Sports Complex  ;;7940;0;0;0;0;0;;
220;N;6;18;0;1; Winery  ;;2084;0;0;0;0;0;;
221;N;6;19;0;1; NIGHT CLUB  ;;0;0;0;0;0;9534;;
222;N;6;20;0;1; BOATING  ;;0;0;0;0;0;9570;;
223;N;6;21;0;1; RACE TRACK  ;;0;0;0;0;0;0;;
224;N;6;22;0;1; HEALTH CLUB  ;;0;0;0;0;0;9574;;
225;N;6;23;0;1; BOWLING ALLEY  ;;0;0;0;0;0;0;;
226;N;6;24;0;1; SPORTS ACTIVITIES  ;;0;0;0;0;0;9576;;
227;N;6;25;0;1; Recreation Center  ;;0;0;0;0;0;9577;;
228;N;6;26;0;1; Sporting & Instructional Camp  ;;0;0;0;0;0;0;;
229;N;6;27;0;1; RV PARK  ;;0;0;0;0;0;0;;
230;N;7;0;0;0;Community;;0;0;0;0;0;0;;
231;N;7;1;0;1; ATM  ;;0;0;0;0;0;0;;
232;N;7;1;1;2;All ATM;;3578;0;0;0;0;0;;
233;Y;7;1;2;2;HSBC;;3578;0;1106;0;0;0;;
234;Y;7;1;3;2;Citibank;;3578;0;1165;0;0;0;;
235;Y;7;1;4;2;BANCO DE LA NACIÓN ARGENTINA;;3578;0;2196;0;0;0;;
236;Y;7;1;5;2;Itaú;;3578;0;4026;0;0;0;;
237;Y;7;1;6;2;Santander Río;;3578;0;4028;0;0;0;;
238;Y;7;1;7;2;Banco Francés;;3578;0;4029;0;0;0;;
239;Y;7;1;8;2;Banco Credicoop;;3578;0;4030;0;0;0;;
240;Y;7;1;9;2;Banco Ciudad;;3578;0;4031;0;0;0;;
241;Y;7;1;10;2;Supervíelle Banco;;3578;0;4032;0;0;0;;
242;Y;7;1;11;2;Macro;;3578;0;4033;0;0;0;;
243;Y;7;1;12;2;Banco Comafi;;3578;0;4034;0;0;0;;
244;Y;7;1;13;2;Galicia;;3578;0;4035;0;0;0;;
245;Y;7;1;14;2;Banco Patagonia;;3578;0;5492;0;0;0;;
246;Y;7;1;15;2;Banco Provincia;;3578;0;5493;0;0;0;;
247;Y;7;1;16;2;Banco de Córdoba;;3578;0;20022;0;0;0;;
248;Y;7;1;17;2;ICBC;;3578;0;22411;0;0;0;;
249;N;7;1;18;2;Other ATM;;3578;0;0;0;0;0;;
250;N;7;2;0;1; Bank  ;;0;0;0;0;0;0;;
251;N;7;2;1;2;All Bank;;6000;0;0;0;0;0;;
252;Y;7;2;2;2;HSBC;;6000;0;1106;0;0;0;;
253;Y;7;2;3;2;Citibank;;6000;0;1165;0;0;0;;
254;Y;7;2;4;2;BANCO DE GALICIA;;6000;0;2195;0;0;0;;
255;Y;7;2;5;2;BANCO DE LA NACIÓN ARGENTINA;;6000;0;2196;0;0;0;;
256;Y;7;2;6;2;Itaú;;6000;0;4026;0;0;0;;
257;Y;7;2;7;2;Santander Río;;6000;0;4028;0;0;0;;
258;Y;7;2;8;2;Banco Francés;;6000;0;4029;0;0;0;;
259;Y;7;2;9;2;Banco Credicoop;;6000;0;4030;0;0;0;;
260;Y;7;2;10;2;Banco Ciudad;;6000;0;4031;0;0;0;;
261;Y;7;2;11;2;Supervíelle Banco;;6000;0;4032;0;0;0;;
262;Y;7;2;12;2;Macro;;6000;0;4033;0;0;0;;
263;Y;7;2;13;2;Banco Comafi;;6000;0;4034;0;0;0;;
264;Y;7;2;14;2;Galicia;;6000;0;4035;0;0;0;;
265;Y;7;2;15;2;Banco Patagonia;;6000;0;5492;0;0;0;;
266;Y;7;2;16;2;Banco Provincia;;6000;0;5493;0;0;0;;
267;Y;7;2;17;2;Banco de Córdoba;;6000;0;20022;0;0;0;;
268;Y;7;2;18;2;Banco Piano;;6000;0;20023;0;0;0;;
269;Y;7;2;19;2;ICBC;;6000;0;22411;0;0;0;;
270;N;7;2;20;2;Other Bank;;6000;0;0;0;0;0;;
271;N;7;3;0;1; City Hall  ;;9121;0;0;0;0;0;;
272;N;7;4;0;1; Civic/Community Centre  ;;7994;0;0;0;0;0;;
273;N;7;5;0;1; Convention/Exhibition Centre  ;;7990;0;0;0;0;0;;
274;N;7;6;0;1; County Council  ;;9994;0;0;0;0;0;;
275;N;7;7;0;1; Court House  ;;9211;0;0;0;0;0;;
276;N;7;8;0;1; Embassy  ;;9993;0;0;0;0;0;;
277;N;7;9;0;1; Government Office  ;;9525;0;0;0;0;0;;
278;N;7;10;0;1; Higher Education  ;;8200;0;0;0;0;0;;
279;N;7;11;0;1; Hospital  ;;8060;0;0;0;0;0;;
280;N;7;12;0;1; Library  ;;8231;0;0;0;0;0;;
281;N;7;13;0;1; Medical Service  ;;0;0;0;0;0;0;;
282;N;7;13;1;2; All Medical Service  ;;9583;0;0;0;0;0;;
283;N;7;13;2;2;Family/General Practice;;9583;23;0;0;0;0;;
284;N;7;13;3;2;Clinic/Medical Centre;;9583;25;0;0;0;0;;
285;N;7;13;4;2;Retirement/Nursing Home;;9583;26;0;0;0;0;;
286;N;7;13;5;2;Psychiatric Institute;;9583;27;0;0;0;0;;
287;N;7;13;6;2;Other Medical Service  ;;9583;0;0;0;0;0;;
288;N;7;14;0;1; Dentist;;9583;24;0;0;0;0;;
289;N;7;15;0;1; Pharmacy  ;;9565;0;0;0;0;0;;
290;N;7;16;0;1; Police Station  ;;9221;0;0;0;0;0;;
291;N;7;17;0;1; Post Office  ;;9530;0;0;0;0;0;;
292;N;7;18;0;1; Public Restroom  ;;9589;0;0;0;0;0;;
293;N;7;19;0;1; Residential Area/Building  ;;9590;0;0;0;0;0;;
294;N;7;20;0;1; School  ;;8211;0;0;0;0;0;;
295;N;7;21;0;1; RETIREMENT/NURSING HOME  ;;0;0;0;0;0;9513;;
296;N;7;22;0;1; BANQUET HALL  ;;0;0;0;0;0;9531;;
297;N;7;23;0;1; CHECK CASHING SERVICE  ;;0;0;0;0;0;9542;;
298;N;7;24;0;1; ATTORNEY  ;;0;0;0;0;0;9578;;
299;N;7;25;0;1; Dentist  ;;0;0;0;0;0;9579;;
300;N;7;26;0;1; Veterinarian Service  ;;0;0;0;0;0;9585;;
301;N;7;27;0;1; Cemetery  ;;9591;0;0;0;0;0;;
302;N;7;27;1;2;Cemetery;;9591;32;0;0;0;0;;
303;N;7;27;2;2;Crematorium;;9591;33;0;0;0;0;;
304;N;7;28;0;1; Place of Worship  ;;0;0;0;0;0;0;;
305;N;7;28;1;2;All Place of Worship ;;9992;0;0;0;0;0;;
306;N;7;28;2;2;MOSQUE;;9992;0;0;0;1;0;;
307;N;7;28;3;2;SYNAGOGUE;;9992;0;0;0;4;0;;
308;N;7;28;4;2;ASHRAM;;9992;0;0;0;5;0;;
309;N;7;28;5;2;CHURCH;;9992;0;0;0;6;0;;
310;N;7;28;6;2;OTHER;;9992;0;0;0;7;0;;
311;N;7;28;7;2;TEMPLE;;9992;0;0;0;3;0;;
312;N;7;29;0;1;Other Community;;0;0;0;0;0;0;;
313;N;8;0;0;0;Others;;0;0;0;0;0;0;;
314;N;8;1;0;1; Automobile Club  ;;8699;0;0;0;0;0;;
315;N;8;2;0;1; Business Facility  ;;5000;0;0;0;0;0;;
316;N;8;3;0;1; Cargo Centre  ;;9714;0;0;0;0;0;;
317;N;8;3;1;2;Seaport/Harbour;;9714;52;0;0;0;0;;
318;N;8;3;2;2;Railyard;;9714;53;0;0;0;0;;
319;N;8;3;3;2;Airport Cargo;;9714;54;0;0;0;0;;
320;N;8;4;0;1; Hamlet  ;;9998;0;0;0;0;0;;
321;N;8;5;0;1; Industrial Zone  ;;9991;0;0;0;0;0;;
322;N;8;6;0;1; Loading Zone  ;;9724;0;0;0;0;0;;
323;N;8;7;0;1; Military Base  ;;9715;0;0;0;0;0;;
324;N;8;8;0;1; Named Place  ;;4444;0;0;0;0;0;;
325;N;8;9;0;1; Neighbourhood  ;;0;0;0;0;0;0;;
326;N;8;10;0;1; BUSINESS SERVICE  ;;0;0;0;0;0;9500;;
327;N;8;11;0;1; OTHER COMMUNICATION  ;;0;0;0;0;0;9501;;
328;N;8;12;0;1; TELEPHONE SERVICE  ;;0;0;0;0;0;9502;;
329;N;8;13;0;1; CLEANING & LAUNDRY  ;;0;0;0;0;0;9503;;
330;N;8;14;0;1; HAIR & BEAUTY  ;;0;0;0;0;0;9504;;
331;N;8;15;0;1; MOVER  ;;0;0;0;0;0;9506;;
332;N;8;16;0;1; PHOTOGRAPHY  ;;0;0;0;0;0;9507;;
333;N;8;17;0;1; VIDEO & GAME RENTAL  ;;0;0;0;0;0;9508;;
334;N;8;18;0;1; STORAGE  ;;0;0;0;0;0;9509;;
335;N;8;19;0;1; TAILOR & ALTERATION  ;;0;0;0;0;0;9510;;
336;N;8;20;0;1; REPAIR SERVICE  ;;0;0;0;0;0;9512;;
337;N;8;21;0;1; SOCIAL SERVICE  ;;0;0;0;0;0;9514;;
338;N;8;22;0;1; UTILITIES  ;;0;0;0;0;0;9515;;
339;N;8;23;0;1; WASTE & SANITARY  ;;0;0;0;0;0;9516;;
340;N;8;24;0;1; FUNERAL DIRECTOR  ;;0;0;0;0;0;9529;;
341;N;8;25;0;1; PAINT  ;;0;0;0;0;0;9555;;
342;N;8;26;0;1; REALTOR  ;;0;0;0;0;0;9581;;
343;N;8;27;0;1; PREMIUM DEFAULT  ;;0;0;0;0;0;0;;
