#per_code;is_brand;gen1;gen2;gen3;level;code_name;genre_type;org_code;series;poi_name;filename
139;N;4;8;0;1;觀光名勝;;314000;;;TWLG03001A_16A.bmp
140;N;4;9;0;1;主題樂園;;314100;;;TWLG02201A_16A.bmp
141;N;4;10;0;1;飯店旅館;;0;;;
142;N;4;10;1;2;觀光旅館;3;314400;國際觀光旅館;;TWLG02101A_16A.bmp
142;N;4;10;1;2;觀光旅館;3;314400;一般觀光旅館;;TWLG02101A_16A.bmp
143;N;4;10;2;2;一般旅館;3;314400;一般旅館;;TWLG02101A_16A.bmp
144;N;4;10;3;2;民宿;3;314400;民宿;;TWLG02101A_16A.bmp
145;N;4;10;4;2;其他住宿;3;314400;;;TWLG02101A_16A.bmp
146;N;4;11;0;1;保齡球館;;315100;;;TWLG02901A_16A.bmp
147;N;4;12;0;1;ＫＴＶ;;315200;;;
148;N;4;13;0;1;電影院;;315900;;;TWLG02701A_16A.bmp
149;N;4;14;0;1;其它休閒設施;;316000;;;TWLG07301A_16A.bmp
150;N;4;14;1;2;海洋樂園．海水浴場;3;314800;;;TWLG05701A_16A.bmp
151;N;4;15;0;1;棒球場;;316300;;;TWLG05401A_16A.bmp
152;N;4;16;0;1;體育館運動場;;316600;;;TWLG02801A_16A.bmp
153;N;4;17;0;1;游泳池;;316800;;;TWLG05501A_16A.bmp
154;N;4;18;0;1;其它運動設施;;318000;;;TWLG05601A_16A.bmp
154;N;4;18;0;1;其它運動設施;;312700;;;TWLG03201A_16A.bmp
155;N;4;19;0;1;高爾夫球場;;320000;;;TWLG02501A_16A.bmp
156;N;4;20;0;1;其它文化設施;;313900;;;TWLG07201A_16A.bmp
157;N;4;20;1;2;文化中心;3;312300;;;TWLG07601A_16A.bmp
158;N;5;0;0;0;購物;;0;;;
159;N;5;1;0;1;百貨公司;;0;;;
160;N;5;1;1;2;所有百貨公司;0;0;;;
161;N;5;1;2;2;Ｓａｎｒｉｏ;;306100;Ｓａｎｒｉｏ;;TWLG00801A_16A.bmp
162;N;5;1;3;2;思夢樂流行服飾館;;306100;思夢樂流行服飾館;;TWCP05301A_16A.bmp
163;N;5;1;4;2;誠品;;306100;誠品;;TWLG00801A_16A.bmp
164;N;5;1;5;2;寶雅生活館;;306100;寶雅生活館;;TWCP09001A_16A.bmp
165;N;5;1;6;2;其它百貨公司;;306100;;;TWLG00801A_16A.bmp
166;N;5;2;0;1;便利商店;;306200;;;TWLG00601A_16A.bmp
167;N;5;3;0;1;超級市場．量販店;;0;;;
168;N;5;3;1;2;所有超級市場．量販店;0;0;;;
169;N;5;3;2;2;家樂福量販店;;307000;家樂福量販店;;TWCP00901A_16A.bmp
170;N;5;3;3;2;松青超市;;307000;松青超市;;TWCP04201A_16A.bmp
171;N;5;3;4;2;全聯福利中心;;307000;全聯福利中心;;TWCP03001A_16A.bmp
172;N;5;3;5;2;台灣楓康超市;;307000;台灣楓康超市;;TWLG00701A_16A.bmp
173;N;5;3;6;2;頂好超市;;307000;頂好超市;;TWCP02802A_16A.bmp
