2016-01-21 10:45:43,200 - INFO: proj_rdf_module----start to process rdf_ase original data.
2016-01-21 10:45:43,200 - INFO: spotguide_tbl----Start make spotguide_tbl.
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 1103409915,outlink = 781883991 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 751907459,outlink = 751942498 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 778204081,outlink = 778204084 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 883845727,outlink = 808974060 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 852052223,outlink = 833638771 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 778550355,outlink = 751885177 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 905631355,outlink = 918089646 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 810081151,outlink = 807534558 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 966814662,outlink = 970570088 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 1038928546,outlink = 1038928548 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 930533056,outlink = 1041079832 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 821073292,outlink = 116132249 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 718623092,outlink = 753974321 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 891711574,outlink = 759433022 pathlink is null
2016-01-21 10:46:01,516 - WARNING: spotguide_tbl----inlink = 829991864,outlink = 917951230 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 855042874,outlink = 923266614 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 906120813,outlink = 1061868247 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 983303854,outlink = 752113161 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 868432824,outlink = 868432788 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 864569314,outlink = 777332274 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 777445674,outlink = 777518501 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 1102527515,outlink = 1021087733 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 718707549,outlink = 991552499 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 1103720880,outlink = 751994468 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 1081450439,outlink = 1081450432 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 751925144,outlink = 752087832 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 830080121,outlink = 909463505 pathlink is null
2016-01-21 10:46:01,532 - WARNING: spotguide_tbl----inlink = 972102976,outlink = 835668038 pathlink is null
2016-01-21 10:46:01,549 - WARNING: spotguide_tbl----inlink = 883845730,outlink = 807441845 pathlink is null
2016-01-21 10:46:01,549 - WARNING: spotguide_tbl----inlink = 1074509797,outlink = 836213699 pathlink is null
2016-01-21 10:46:01,549 - WARNING: spotguide_tbl----inlink = 821184399,outlink = 726765031 pathlink is null
2016-01-21 10:46:01,549 - WARNING: spotguide_tbl----inlink = 877480668,outlink = 956898833 pathlink is null
2016-01-21 10:46:01,549 - WARNING: spotguide_tbl----inlink = 779056362,outlink = 839442246 pathlink is null
2016-01-21 10:46:01,549 - WARNING: spotguide_tbl----inlink = 845926762,outlink = 818564201 pathlink is null
2016-01-21 10:46:01,549 - WARNING: spotguide_tbl----inlink = 1061868223,outlink = 1047253348 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 116164771,outlink = 116139457 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 778862311,outlink = 778863906 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 767437187,outlink = 727001082 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 718588971,outlink = 828062125 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 752162809,outlink = 752182266 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 950348161,outlink = 1047313280 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 828829255,outlink = 828826826 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 876568045,outlink = 876567691 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 1052036541,outlink = 1052040004 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 821084715,outlink = 116140490 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 863186217,outlink = 778536529 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 806957841,outlink = 806957840 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 940112332,outlink = 940112333 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 751957614,outlink = 752157313 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 718641484,outlink = 728167787 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 836205664,outlink = 777974088 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 1090593884,outlink = 1090601260 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 788064926,outlink = 967004424 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 907139158,outlink = 734109264 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 925939044,outlink = 842483523 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 777101545,outlink = 783550979 pathlink is null
2016-01-21 10:46:01,563 - WARNING: spotguide_tbl----inlink = 1101830108,outlink = 1047170567 pathlink is null
