lonlat;field;value
'MULTILINESTRING((115.23372 5.27406,115.23376 5.27389))';one_way;1
'MULTILINESTRING((115.23376 5.27389,115.23381 5.2737))';one_way;1
'MULTILINESTRING((115.23381 5.2737,115.234 5.27271))';one_way;1
'MULTILINESTRING((115.234 5.27271,115.23439 5.27071,115.23468 5.26925))';one_way;1
'MULTILINESTRING((110.36589 1.55219,110.3659 1.55213,110.36592 1.55209,110.36594 1.55205))';one_way;1
'MULTILINESTRING((110.36839 1.50731,110.36877 1.5073,110.36922 1.50722,110.36936 1.5072))';one_way;1
'MULTILINESTRING((110.36936 1.5072,110.36996 1.50701,110.3702 1.50692,110.3705 1.50681))';one_way;1
'MULTILINESTRING((110.3705 1.50681,110.37093 1.5066,110.37134 1.50635,110.37181 1.50608,110.37229 1.50579))';one_way;1
'MULTILINESTRING((110.38231 1.55602,110.38211 1.55573))';one_way;1
'MULTILINESTRING((110.38211 1.55573,110.38182 1.5553))';one_way;1
'MULTILINESTRING((110.38182 1.5553,110.38173 1.55515,110.38166 1.555,110.38156 1.55479,110.38143 1.55446,110.38132 1.55417,110.38127 1.55402,110.38124 1.55391,110.38121 1.55381,110.38121 1.55363,110.38122 1.5535,110.38124 1.55325,110.38124 1.5531,110.38124 1.55292))';one_way;1
'MULTILINESTRING((110.38124 1.55292,110.38121 1.55272,110.38119 1.55255,110.38117 1.55247,110.38114 1.55236,110.38109 1.55222,110.38098 1.55192,110.38092 1.55176,110.38082 1.55151,110.38071 1.55128))';one_way;1
'MULTILINESTRING((110.38071 1.55128,110.38047 1.5508,110.38037 1.55062,110.38035 1.55057,110.38035 1.55051,110.38038 1.5504))';one_way;1
'MULTILINESTRING((110.43466 1.59203,110.43484 1.59202,110.43493 1.59198))';one_way;1
'MULTILINESTRING((110.42982 1.59435,110.42974 1.59419))';one_way;1
'MULTILINESTRING((110.42974 1.59419,110.42955 1.59388,110.42942 1.59368,110.42929 1.59348,110.42916 1.59327,110.42895 1.59297,110.42888 1.59286,110.42882 1.59275,110.42877 1.59264,110.42872 1.59252,110.42823 1.59087,110.42813 1.59018,110.42817 1.58983,110.42834 1.58926,110.42856 1.5888,110.42872 1.58872,110.42893 1.58874,110.42936 1.58894))';one_way;1
